"","ID","Gene","GB_ACC","GeneDes"
"211628_x_at","211628_x_at","FTH1P5","J04755",""
"211678_s_at","211678_s_at","RNF114","AF090934","0003713 // transcription coactivator activity // inferred from direct assay /// 0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
"211698_at","211698_at","EID1","AF349444","0003714 // transcription corepressor activity // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0035034 // histone acetyltransferase regulator activity // inferred from direct assay /// 0035035 // histone acetyltransferase binding // inferred from direct assay"
"211765_x_at","211765_x_at","PPIA","BC005982","0003755 // peptidyl-prolyl cis-trans isomerase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0016853 // isomerase activity // inferred from electronic annotation /// 0042277 // peptide binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046790 // virion binding // non-traceable author statement /// 0051082 // unfolded protein binding // traceable author statement"
"211927_x_at","211927_x_at","EEF1G /// MIR3654","BE963164","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003746 // translation elongation factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction"
"211931_s_at","211931_s_at","HNRNPA3 /// HNRNPA3P1","BG505670","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"211939_x_at","211939_x_at","BTF3","X74070","0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"211942_x_at","211942_x_at","RPL13A /// RPL13AP5 /// RPL13AP6 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A","BF979419","0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"211943_x_at","211943_x_at","LOC101928826 /// TPT1","AL565449","0005509 // calcium ion binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008134 // transcription factor binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"211945_s_at","211945_s_at","ITGB1","BG500301","0001618 // virus receptor activity // inferred from electronic annotation /// 0001948 // glycoprotein binding // inferred from electronic annotation /// 0001968 // fibronectin binding // inferred from electronic annotation /// 0002020 // protease binding // inferred from electronic annotation /// 0003779 // actin binding // inferred from direct assay /// 0004872 // receptor activity // inferred from electronic annotation /// 0005102 // receptor binding // inferred from electronic annotation /// 0005178 // integrin binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005518 // collagen binding // inferred from electronic annotation /// 0019900 // kinase binding // inferred from electronic annotation /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0019904 // protein domain specific binding // inferred from electronic annotation /// 0032403 // protein complex binding // inferred from electronic annotation /// 0042277 // peptide binding // inferred from electronic annotation /// 0043236 // laminin binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // non-traceable author statement /// 0050839 // cell adhesion molecule binding // inferred from physical interaction /// 0051393 // alpha-actinin binding // inferred from electronic annotation"
"211956_s_at","211956_s_at","EIF1","BF246436","0003743 // translation initiation factor activity // non-traceable author statement /// 0008135 // translation factor activity, nucleic acid binding // traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"211970_x_at","211970_x_at","ACTB /// ACTG1","BG026805","0000166 // nucleotide binding // inferred from electronic annotation /// 0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005200 // structural constituent of cytoskeleton // inferred by curator /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0019894 // kinesin binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0030957 // Tat protein binding // inferred from physical interaction /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0042802 // identical protein binding // inferred from physical interaction /// 0050998 // nitric-oxide synthase binding // inferred from physical interaction"
"211976_at","211976_at","NUDT3","AK026168","0000287 // magnesium ion binding // inferred from direct assay /// 0008486 // diphosphoinositol-polyphosphate diphosphatase activity // inferred from direct assay /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0052840 // inositol diphosphate tetrakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052841 // inositol bisdiphosphate tetrakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052842 // inositol diphosphate pentakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052843 // inositol-1-diphosphate-2,3,4,5,6-pentakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052844 // inositol-3-diphosphate-1,2,4,5,6-pentakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052845 // inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052846 // inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 1-diphosphatase activity // inferred from electronic annotation /// 0052847 // inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity // inferred from electronic annotation /// 0052848 // inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity // inferred from electronic annotation"
"211978_x_at","211978_x_at","LOC101060363 /// PPIA","AI708767","0003755 // peptidyl-prolyl cis-trans isomerase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0016853 // isomerase activity // inferred from electronic annotation /// 0042277 // peptide binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046790 // virion binding // non-traceable author statement /// 0051082 // unfolded protein binding // traceable author statement"
"211983_x_at","211983_x_at","ACTB /// ACTG1","BE741683","0000166 // nucleotide binding // inferred from electronic annotation /// 0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005200 // structural constituent of cytoskeleton // inferred by curator /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0019894 // kinesin binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0030957 // Tat protein binding // inferred from physical interaction /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0042802 // identical protein binding // inferred from physical interaction /// 0050998 // nitric-oxide synthase binding // inferred from physical interaction"
"211987_at","211987_at","TOP2B","NM_001068","0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003682 // chromatin binding // inferred from direct assay /// 0003916 // DNA topoisomerase activity // inferred from electronic annotation /// 0003918 // DNA topoisomerase type II (ATP-hydrolyzing) activity // inferred from direct assay /// 0005080 // protein kinase C binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008022 // protein C-terminus binding // inferred from physical interaction /// 0008301 // DNA binding, bending // inferred from electronic annotation /// 0016853 // isomerase activity // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from physical interaction /// 0042826 // histone deacetylase binding // inferred from physical interaction /// 0046872 // metal ion binding // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // inferred from physical interaction"
"212010_s_at","212010_s_at","CDV3","AK025647",""
"212039_x_at","212039_x_at","RNU86 /// RPL3 /// SNORD83B","BG339228","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212042_x_at","212042_x_at","RPL7","BG389744","0003677 // DNA binding // inferred from direct assay /// 0003723 // RNA binding // traceable author statement /// 0003729 // mRNA binding // inferred from direct assay /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0042803 // protein homodimerization activity // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212043_at","212043_at","TGOLN2","W72053","0005515 // protein binding // inferred from physical interaction"
"212077_at","212077_at","CALD1","AL583520","0003779 // actin binding // inferred from electronic annotation /// 0005516 // calmodulin binding // inferred from electronic annotation /// 0005523 // tropomyosin binding // traceable author statement /// 0017022 // myosin binding // inferred from electronic annotation"
"212082_s_at","212082_s_at","MYL6","BE734356","0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003682 // chromatin binding // inferred from electronic annotation /// 0003713 // transcription coactivator activity // non-traceable author statement /// 0003774 // motor activity // traceable author statement /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008307 // structural constituent of muscle // inferred from direct assay /// 0030898 // actin-dependent ATPase activity // inferred from sequence or structural similarity /// 0031492 // nucleosomal DNA binding // inferred from direct assay"
"212111_at","212111_at","STX12","AA628051","0000149 // SNARE binding // not recorded /// 0005484 // SNAP receptor activity // not recorded /// 0005515 // protein binding // inferred from physical interaction"
"212129_at","212129_at","NIPA2","AI589507","0005515 // protein binding // inferred from electronic annotation /// 0015095 // magnesium ion transmembrane transporter activity // inferred from electronic annotation"
"212140_at","212140_at","PDS5A","AB014548","0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction"
"212149_at","212149_at","EFR3A","AW470003","0005488 // binding // inferred from electronic annotation"
"212160_at","212160_at","XPOT","AI984005","0000049 // tRNA binding // inferred from direct assay /// 0003723 // RNA binding // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0008536 // Ran GTPase binding // inferred from electronic annotation"
"212245_at","212245_at","MCFD2","AL567779","0005509 // calcium ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
"212270_x_at","212270_x_at","C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C","BG168283","0003735 // structural constituent of ribosome // non-traceable author statement /// 0004871 // signal transducer activity // inferred from mutant phenotype /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212284_x_at","212284_x_at","LOC101928826 /// TPT1","BG498776","0005509 // calcium ion binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008134 // transcription factor binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212313_at","212313_at","CHMP7","BC004344","0008565 // protein transporter activity // inferred from mutant phenotype"
"212352_s_at","212352_s_at","TMED10","BE780075","0005515 // protein binding // inferred from physical interaction /// 0019905 // syntaxin binding // inferred from physical interaction /// 0032403 // protein complex binding // inferred from electronic annotation"
"212391_x_at","212391_x_at","RPS3A /// SNORD73A","AI925635","0003723 // RNA binding // non-traceable author statement /// 0003735 // structural constituent of ribosome // not recorded /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212410_at","212410_at","MICU2","AI346431","0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0046982 // protein heterodimerization activity // inferred from physical interaction"
"212498_at","212498_at","MARCH6","AF056433","0004842 // ubiquitin-protein transferase activity // inferred from direct assay /// 0004842 // ubiquitin-protein transferase activity // inferred from mutant phenotype /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from physical interaction /// 0031624 // ubiquitin conjugating enzyme binding // inferred from physical interaction /// 0046872 // metal ion binding // inferred from electronic annotation"
"212506_at","212506_at","PICALM","AL135735","0005515 // protein binding // inferred from physical interaction /// 0005543 // phospholipid binding // inferred from electronic annotation /// 0005545 // 1-phosphatidylinositol binding // inferred from sequence or structural similarity /// 0030276 // clathrin binding // inferred from direct assay /// 0030276 // clathrin binding // inferred from physical interaction /// 0030276 // clathrin binding // inferred from sequence or structural similarity /// 0032050 // clathrin heavy chain binding // inferred from direct assay /// 0035615 // clathrin adaptor activity // inferred from mutant phenotype"
"212537_x_at","212537_x_at","C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C","BE733979","0003735 // structural constituent of ribosome // non-traceable author statement /// 0004871 // signal transducer activity // inferred from mutant phenotype /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212603_at","212603_at","MRPS31","NM_005830","0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0019904 // protein domain specific binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212610_at","212610_at","PTPN11","U79291","0004721 // phosphoprotein phosphatase activity // inferred from direct assay /// 0004725 // protein tyrosine phosphatase activity // inferred from direct assay /// 0004725 // protein tyrosine phosphatase activity // traceable author statement /// 0004726 // non-membrane spanning protein tyrosine phosphatase activity // inferred from mutant phenotype /// 0004726 // non-membrane spanning protein tyrosine phosphatase activity // traceable author statement /// 0005070 // SH3/SH2 adaptor activity // inferred from direct assay /// 0005158 // insulin receptor binding // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016791 // phosphatase activity // inferred from electronic annotation /// 0019904 // protein domain specific binding // inferred from electronic annotation /// 0030971 // receptor tyrosine kinase binding // inferred from electronic annotation /// 0031748 // D1 dopamine receptor binding // inferred from electronic annotation /// 0043274 // phospholipase binding // inferred from electronic annotation /// 0043560 // insulin receptor substrate binding // inferred from electronic annotation /// 0051428 // peptide hormone receptor binding // inferred from electronic annotation"
"212661_x_at","212661_x_at","LOC101060363 /// PPIA","BE731738","0003755 // peptidyl-prolyl cis-trans isomerase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0016853 // isomerase activity // inferred from electronic annotation /// 0042277 // peptide binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046790 // virion binding // non-traceable author statement /// 0051082 // unfolded protein binding // traceable author statement"
"212698_s_at","212698_s_at","SEPT10","BF966021","0000166 // nucleotide binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation"
"212788_x_at","212788_x_at","FTL","BG537190","0005506 // iron ion binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008199 // ferric iron binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0042802 // identical protein binding // inferred from physical interaction /// 0046872 // metal ion binding // inferred from electronic annotation /// 0046914 // transition metal ion binding // inferred from electronic annotation"
"212790_x_at","212790_x_at","RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A","BF942308","0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212833_at","212833_at","SLC25A46","M74089",""
"212837_at","212837_at","FAM175B","D63877","0031593 // polyubiquitin binding // inferred from direct assay"
"212857_x_at","212857_x_at","SUB1","BG231551","0003677 // DNA binding // inferred from electronic annotation /// 0003697 // single-stranded DNA binding // inferred from direct assay /// 0003713 // transcription coactivator activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212869_x_at","212869_x_at","LOC101928826 /// TPT1","AI721229","0005509 // calcium ion binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008134 // transcription factor binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"212934_at","212934_at","UBXN2B","AI245523","0005515 // protein binding // inferred from electronic annotation"
"212988_x_at","212988_x_at","ACTB /// ACTG1","AL515810","0000166 // nucleotide binding // inferred from electronic annotation /// 0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005200 // structural constituent of cytoskeleton // inferred by curator /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0019894 // kinesin binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0030957 // Tat protein binding // inferred from physical interaction /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0042802 // identical protein binding // inferred from physical interaction /// 0050998 // nitric-oxide synthase binding // inferred from physical interaction"
"213063_at","213063_at","ZC3H14","BF970253","0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"213080_x_at","213080_x_at","RPL5 /// SNORD21","BF214492","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008097 // 5S rRNA binding // inferred from electronic annotation /// 0019843 // rRNA binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213084_x_at","213084_x_at","RPL23A /// SNORD42A","BF125158","0000166 // nucleotide binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0019843 // rRNA binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213102_at","213102_at","ACTR3","Z78330","0000166 // nucleotide binding // inferred from electronic annotation /// 0003779 // actin binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation"
"213151_s_at","213151_s_at","SEPT7","AU157515","0000166 // nucleotide binding // inferred from electronic annotation /// 0005198 // structural molecule activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // inferred from electronic annotation /// 0042802 // identical protein binding // inferred from physical interaction"
"213214_x_at","213214_x_at","ACTB /// ACTG1","AW190090","0000166 // nucleotide binding // inferred from electronic annotation /// 0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005200 // structural constituent of cytoskeleton // inferred by curator /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0019894 // kinesin binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0030957 // Tat protein binding // inferred from physical interaction /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0042802 // identical protein binding // inferred from physical interaction /// 0050998 // nitric-oxide synthase binding // inferred from physical interaction"
"213347_x_at","213347_x_at","RPS4X","AW132023","0003723 // RNA binding // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // inferred from mutant phenotype /// 0019843 // rRNA binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213356_x_at","213356_x_at","HNRNPA1 /// HNRNPA1L2 /// HNRNPA1P10 /// HNRNPA1P33","AL568186","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003697 // single-stranded DNA binding // inferred from direct assay /// 0003723 // RNA binding // traceable author statement /// 0003723 // RNA binding // inferred from electronic annotation /// 0003727 // single-stranded RNA binding // inferred by curator /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213377_x_at","213377_x_at","RPS12","AI799007","0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213477_x_at","213477_x_at","EEF1A1","AL515273","0000166 // nucleotide binding // inferred from electronic annotation /// 0003746 // translation elongation factor activity // traceable author statement /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // traceable author statement /// 0019901 // protein kinase binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213507_s_at","213507_s_at","KPNB1","BG249565","0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008139 // nuclear localization sequence binding // traceable author statement /// 0008270 // zinc ion binding // traceable author statement /// 0008536 // Ran GTPase binding // inferred from electronic annotation /// 0008565 // protein transporter activity // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from physical interaction /// 0019904 // protein domain specific binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213545_x_at","213545_x_at","SNX3","BE962615","0005515 // protein binding // inferred from physical interaction /// 0008289 // lipid binding // inferred from electronic annotation /// 0019903 // protein phosphatase binding // inferred from physical interaction /// 0032266 // phosphatidylinositol-3-phosphate binding // inferred from direct assay /// 0035091 // phosphatidylinositol binding // inferred from electronic annotation"
"213564_x_at","213564_x_at","LDHB","BE042354","0003824 // catalytic activity // inferred from electronic annotation /// 0004457 // lactate dehydrogenase activity // inferred from electronic annotation /// 0004459 // L-lactate dehydrogenase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016616 // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // inferred from electronic annotation /// 0019900 // kinase binding // inferred from electronic annotation /// 0042802 // identical protein binding // inferred from electronic annotation /// 0051287 // NAD binding // inferred from electronic annotation"
"213583_x_at","213583_x_at","EEF1A1","BE964125","0000166 // nucleotide binding // inferred from electronic annotation /// 0003746 // translation elongation factor activity // traceable author statement /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // traceable author statement /// 0019901 // protein kinase binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213588_x_at","213588_x_at","RPL14","AA838274","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213614_x_at","213614_x_at","EEF1A1","BE786672","0000166 // nucleotide binding // inferred from electronic annotation /// 0003746 // translation elongation factor activity // traceable author statement /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // traceable author statement /// 0019901 // protein kinase binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213687_s_at","213687_s_at","RPL35A","BE968801","0000049 // tRNA binding // inferred from electronic annotation /// 0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0004386 // helicase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213702_x_at","213702_x_at","ASAH1","AI934569","0003824 // catalytic activity // traceable author statement /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0017040 // ceramidase activity // traceable author statement"
"213738_s_at","213738_s_at","ATP5A1","AI587323","0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from sequence or structural similarity /// 0016820 // hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances // inferred from electronic annotation /// 0016887 // ATPase activity // inferred from direct assay /// 0022857 // transmembrane transporter activity // inferred by curator /// 0042288 // MHC class I protein binding // inferred from direct assay /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046933 // proton-transporting ATP synthase activity, rotational mechanism // inferred from sequence or structural similarity /// 0046961 // proton-transporting ATPase activity, rotational mechanism // inferred from electronic annotation"
"213801_x_at","213801_x_at","RPSA /// RPSAP19 /// RPSAP58 /// RPSAP9 /// SNORA6 /// SNORA62","AW304232","0003735 // structural constituent of ribosome // not recorded /// 0005055 // laminin receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0043022 // ribosome binding // inferred from physical interaction /// 0043236 // laminin binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213867_x_at","213867_x_at","ACTB","AA809056","0000166 // nucleotide binding // inferred from electronic annotation /// 0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0019894 // kinesin binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0030957 // Tat protein binding // inferred from physical interaction /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0050998 // nitric-oxide synthase binding // inferred from physical interaction"
"213881_x_at","213881_x_at","LOC101929087 /// SUMO2 /// SUMO3","AI971724","0005515 // protein binding // inferred from physical interaction /// 0031625 // ubiquitin protein ligase binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213890_x_at","213890_x_at","RPS16","AI200589","0003723 // RNA binding // inferred from direct assay /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"213911_s_at","213911_s_at","H2AFZ","BF718636","0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000979 // RNA polymerase II core promoter sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0031490 // chromatin DNA binding // inferred from direct assay /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0046982 // protein heterodimerization activity // inferred from electronic annotation"
"213941_x_at","213941_x_at","RPS7","AI970731","0003723 // RNA binding // non-traceable author statement /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"214003_x_at","214003_x_at","RPS20 /// SNORD54","BF184532","0003723 // RNA binding // non-traceable author statement /// 0003735 // structural constituent of ribosome // inferred from direct assay /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"214143_x_at","214143_x_at","RPL24","AI560573","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005280 // hydrogen:amino acid symporter activity // inferred from electronic annotation /// 0015180 // L-alanine transmembrane transporter activity // inferred from electronic annotation /// 0015187 // glycine transmembrane transporter activity // inferred from electronic annotation /// 0015187 // glycine transmembrane transporter activity // inferred from mutant phenotype /// 0015193 // L-proline transmembrane transporter activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
